EnsemblID GeneName
ENSMMUG00000059101 NA
ENSMMUG00000055414 Metazoa_SRP
ENSMMUG00000063009 Metazoa_SRP
ENSMMUG00000030101 NA
ENSMMUG00000060116 Metazoa_SRP
ENSMMUG00000002676 RPS3A
ENSMMUG00000032702 SNORD73
ENSMMUG00000032726 SNORD73
ENSMMUG00000059421 NA
ENSMMUG00000006026 SH3D19
ENSMMUG00000009680 PRSS48
ENSMMUG00000062151 Metazoa_SRP
ENSMMUG00000041800 FAM160A1
ENSMMUG00000011048 GATB
ENSMMUG00000054027 NA
ENSMMUG00000064899 NA
ENSMMUG00000058834 NA
ENSMMUG00000059233 NA
ENSMMUG00000048837 Metazoa_SRP
ENSMMUG00000050931 NA
ENSMMUG00000020330 FBXW7
ENSMMUG00000044468 mml-mir-3140
ENSMMUG00000054023 Metazoa_SRP
ENSMMUG00000064587 NA
ENSMMUG00000050880 NA
ENSMMUG00000039094 TMEM154
ENSMMUG00000063665 NA
ENSMMUG00000052327 NA
ENSMMUG00000018490 ARFIP1
ENSMMUG00000018493 FHDC1
ENSMMUG00000051060 NA
ENSMMUG00000065105 NA
ENSMMUG00000039869 NA
ENSMMUG00000009001 TMEM131L
ENSMMUG00000036373 U6
ENSMMUG00000056152 Y_RNA
ENSMMUG00000046619 Metazoa_SRP
ENSMMUG00000015847 TLR2
ENSMMUG00000015849 RNF175
ENSMMUG00000015851 SFRP2
ENSMMUG00000050363 NA
ENSMMUG00000063546 NA
ENSMMUG00000061503 NA
ENSMMUG00000057060 NA
ENSMMUG00000058143 NA
ENSMMUG00000014024 DCHS2
ENSMMUG00000021301 PLRG1
ENSMMUG00000033252 U6
ENSMMUG00000021302 FGB
ENSMMUG00000021303 FGA
ENSMMUG00000021304 FGG
ENSMMUG00000057643 NA
ENSMMUG00000052999 LRAT
ENSMMUG00000064074 NA
ENSMMUG00000034271 U2
ENSMMUG00000021147 RBM46
ENSMMUG00000059536 NA
ENSMMUG00000059263 NA
ENSMMUG00000042918 NA
ENSMMUG00000064178 NA
ENSMMUG00000052794 NA
ENSMMUG00000014185 NPY2R
ENSMMUG00000016949 MAP9
ENSMMUG00000023244 GUCY1A1
ENSMMUG00000005447 GUCY1B1
ENSMMUG00000057700 ASIC5
ENSMMUG00000058967 Metazoa_SRP
ENSMMUG00000022018 TDO2
ENSMMUG00000022019 CTSO
ENSMMUG00000064707 NA
ENSMMUG00000028422 SNORA70
ENSMMUG00000052716 NA
ENSMMUG00000058714 NA
ENSMMUG00000049969 NA
ENSMMUG00000022900 PDGFC
ENSMMUG00000037069 RNaseP_nuc
ENSMMUG00000061962 NA
ENSMMUG00000022901 GLRB
ENSMMUG00000064692 NA
ENSMMUG00000026084 U6
ENSMMUG00000018272 GRIA2
ENSMMUG00000040327 Y_RNA
ENSMMUG00000058537 Metazoa_SRP
ENSMMUG00000053790 NA
ENSMMUG00000008547 GASK1B
ENSMMUG00000004448 TMEM144
ENSMMUG00000027360 U4
ENSMMUG00000004647 RXFP1
ENSMMUG00000032010 C5H4orf46
ENSMMUG00000004644 ETFDH
ENSMMUG00000033148 U3
ENSMMUG00000017768 PPID
ENSMMUG00000063266 NA
ENSMMUG00000030046 FNIP2
ENSMMUG00000061782 U6
ENSMMUG00000003488 C5H4orf45
ENSMMUG00000048996 SNORD39
ENSMMUG00000010581 RAPGEF2
ENSMMUG00000060919 U3
ENSMMUG00000055205 U3
ENSMMUG00000053881 NA
ENSMMUG00000046720 Metazoa_SRP
ENSMMUG00000059490 NA
ENSMMUG00000064107 NA
ENSMMUG00000061581 NA
ENSMMUG00000030042 NA
ENSMMUG00000009033 FSTL5
ENSMMUG00000062329 NA
ENSMMUG00000056822 NA
ENSMMUG00000061534 NA
ENSMMUG00000001717 NAF1
ENSMMUG00000053551 NA
ENSMMUG00000062060 NA
ENSMMUG00000060090 NPY1R
ENSMMUG00000020242 NPY5R
ENSMMUG00000003388 TKTL2
ENSMMUG00000004482 TMA16
ENSMMUG00000041688 NA
ENSMMUG00000062029 NA
ENSMMUG00000052712 NA
ENSMMUG00000028494 U6
ENSMMUG00000059520 SMIM31
ENSMMUG00000065077 U6
ENSMMUG00000055680 Metazoa_SRP
ENSMMUG00000064230 APELA
ENSMMUG00000062956 NA
ENSMMUG00000012508 TRIM61
ENSMMUG00000053404 NA
ENSMMUG00000055765 NA
ENSMMUG00000000102 TRIM60
ENSMMUG00000050635 TRIM75P
ENSMMUG00000055697 Metazoa_SRP
ENSMMUG00000021912 TMEM192
ENSMMUG00000017342 KLHL2
ENSMMUG00000035177 U4
ENSMMUG00000017343 GK3P
ENSMMUG00000056040 MSMO1
ENSMMUG00000052292 NA
ENSMMUG00000023400 CPE
ENSMMUG00000033161 NA
ENSMMUG00000065100 NA
ENSMMUG00000054824 NA
ENSMMUG00000053650 NA
ENSMMUG00000015799 TLL1
ENSMMUG00000026445 Y_RNA
ENSMMUG00000045101 NA
ENSMMUG00000006851 SPOCK3
ENSMMUG00000048480 Metazoa_SRP
ENSMMUG00000001879 ANXA10
ENSMMUG00000001880 DDX60
ENSMMUG00000055288 NA
ENSMMUG00000003634 DDX60L
ENSMMUG00000026502 NA
ENSMMUG00000007365 PALLD
ENSMMUG00000027918 U6
ENSMMUG00000026482 U6
ENSMMUG00000015921 CBR4
ENSMMUG00000012701 SH3RF1
ENSMMUG00000050412 NA
ENSMMUG00000057704 Metazoa_SRP
ENSMMUG00000012244 NEK1
ENSMMUG00000010228 CLCN3
ENSMMUG00000010232 C5H4orf27
ENSMMUG00000055132 NA
ENSMMUG00000055797 NA
ENSMMUG00000063912 NA
ENSMMUG00000040113 MFAP3L
ENSMMUG00000019473 AADAT
ENSMMUG00000057646 NA
ENSMMUG00000060398 Metazoa_SRP
ENSMMUG00000053466 Metazoa_SRP
ENSMMUG00000049348 NA
ENSMMUG00000058866 NA
ENSMMUG00000055828 NA
ENSMMUG00000016767 GALNTL6
ENSMMUG00000052179 NA
ENSMMUG00000048727 Metazoa_SRP
ENSMMUG00000013106 GALNT7
ENSMMUG00000003187 HMGB2
ENSMMUG00000058058 Metazoa_SRP
ENSMMUG00000002401 SAP30
ENSMMUG00000002399 SCRG1
ENSMMUG00000032776 U6
ENSMMUG00000048816 HAND2
ENSMMUG00000059629 NA
ENSMMUG00000002331 FBXO8
ENSMMUG00000001743 CEP44
ENSMMUG00000054967 NA
ENSMMUG00000020408 HPGD
ENSMMUG00000008868 GLRA3
ENSMMUG00000061083 ADAM29
ENSMMUG00000060436 NA
ENSMMUG00000062355 NA
ENSMMUG00000054393 NA
ENSMMUG00000007814 GPM6A
ENSMMUG00000013730 WDR17
ENSMMUG00000025856 NA
ENSMMUG00000013733 SPATA4
ENSMMUG00000013736 ASB5
ENSMMUG00000062183 Metazoa_SRP
ENSMMUG00000064613 SPCS3
ENSMMUG00000043958 NA
ENSMMUG00000043417 NA
ENSMMUG00000056931 NA
ENSMMUG00000003748 VEGFC
ENSMMUG00000053823 NA
ENSMMUG00000064304 NA
ENSMMUG00000007394 NEIL3
ENSMMUG00000007393 AGA
ENSMMUG00000065183 NA
ENSMMUG00000035715 U7
ENSMMUG00000046085 NA
ENSMMUG00000058547 Metazoa_SRP
ENSMMUG00000059103 NA
ENSMMUG00000032749 NA
ENSMMUG00000053598 NA
ENSMMUG00000056288 NA
ENSMMUG00000040557 NA
ENSMMUG00000054219 NA
ENSMMUG00000058974 NA
ENSMMUG00000056335 NA
ENSMMUG00000051586 NA
ENSMMUG00000064990 NA
ENSMMUG00000059886 NA
ENSMMUG00000007240 TENM3
ENSMMUG00000035443 U2
ENSMMUG00000054930 NA
ENSMMUG00000000284 DCTD
ENSMMUG00000049036 NA
ENSMMUG00000055378 NA
ENSMMUG00000015748 WWC2
ENSMMUG00000053019 U3
ENSMMUG00000053464 NA
ENSMMUG00000015745 CLDN24
ENSMMUG00000030008 CLDN24
ENSMMUG00000053820 NA
ENSMMUG00000059433 NA
ENSMMUG00000055157 NA
ENSMMUG00000049670 NA
ENSMMUG00000002004 CDKN2AIP
ENSMMUG00000008881 ING2
ENSMMUG00000062032 NA
ENSMMUG00000023650 RWDD4
ENSMMUG00000035495 U6
ENSMMUG00000023651 TRAPPC11
ENSMMUG00000054420 U6
ENSMMUG00000037411 U6
ENSMMUG00000053387 NA
ENSMMUG00000055485 NA
ENSMMUG00000055155 NA
ENSMMUG00000053358 NA
ENSMMUG00000049655 NA
ENSMMUG00000004898 STOX2
ENSMMUG00000016747 ENPP6
ENSMMUG00000051996 NA
ENSMMUG00000038104 Metazoa_SRP
ENSMMUG00000061930 NA
ENSMMUG00000015087 IRF2
ENSMMUG00000034790 SNORD79
ENSMMUG00000064445 Metazoa_SRP
ENSMMUG00000012053 CASP3
ENSMMUG00000012175 PRIMPOL
ENSMMUG00000012176 CENPU
ENSMMUG00000063856 NA
ENSMMUG00000012177 ACSL1
ENSMMUG00000049766 NA
ENSMMUG00000050213 NA
ENSMMUG00000054060 NA
ENSMMUG00000060907 NA
ENSMMUG00000001081 HELT
ENSMMUG00000063315 NA
ENSMMUG00000061064 NA
ENSMMUG00000043198 NA
ENSMMUG00000042411 Y_RNA
ENSMMUG00000015472 SLC25A4
ENSMMUG00000015473 CFAP97
ENSMMUG00000003518 SNX25
ENSMMUG00000003519 LRP2BP
ENSMMUG00000035242 U2
ENSMMUG00000062057 NA
ENSMMUG00000062744 ANKRD37
ENSMMUG00000003520 UFSP2
ENSMMUG00000024436 Y_RNA
ENSMMUG00000048393 C4orf47
ENSMMUG00000000359 CCDC110
ENSMMUG00000015407 PDLIM3
ENSMMUG00000061733 Metazoa_SRP
ENSMMUG00000015733 SORBS2
ENSMMUG00000053665 Metazoa_SRP
ENSMMUG00000025266 Y_RNA
ENSMMUG00000060639 Metazoa_SRP
ENSMMUG00000054013 Metazoa_SRP
ENSMMUG00000051830 NA
ENSMMUG00000034845 U4
ENSMMUG00000021762 TLR3
ENSMMUG00000039058 FAM149A
ENSMMUG00000011632 CYP4V2
ENSMMUG00000011633 KLKB1
ENSMMUG00000011634 F11
ENSMMUG00000034684 U6
ENSMMUG00000018050 MTNR1A
ENSMMUG00000018051 FAT1
ENSMMUG00000056163 NA
ENSMMUG00000062584 NA
ENSMMUG00000052390 NA
ENSMMUG00000050713 NA
ENSMMUG00000060898 NA
ENSMMUG00000052258 NA
ENSMMUG00000050968 NA
ENSMMUG00000052799 NA
ENSMMUG00000053343 NA
ENSMMUG00000051777 Metazoa_SRP
ENSMMUG00000063327 NA
ENSMMUG00000049936 NA
ENSMMUG00000049598 NA
ENSMMUG00000050600 NA
ENSMMUG00000057622 NA
ENSMMUG00000058448 NA
ENSMMUG00000050465 ZFP42
ENSMMUG00000010967 TRIML2
ENSMMUG00000027318 U6
ENSMMUG00000016660 TRIML1
ENSMMUG00000052069 Metazoa_SRP
ENSMMUG00000060842 NA
ENSMMUG00000054799 NA
ENSMMUG00000064721 NA
ENSMMUG00000052287 NA
ENSMMUG00000044628 NA
ENSMMUG00000047526 NA
ENSMMUG00000036673 U7
ENSMMUG00000053909 NA
ENSMMUG00000062082 NA
ENSMMUG00000061067 NA
ENSMMUG00000061998 NA
ENSMMUG00000026747 U1
ENSMMUG00000056317 NA
ENSMMUG00000052063 NA
ENSMMUG00000055932 NA
ENSMMUG00000001824 FRG1
ENSMMUG00000048378 NA
ENSMMUG00000053532 NA
ENSMMUG00000015803 PRMT2
ENSMMUG00000063077 S100B
ENSMMUG00000015797 DIP2A
ENSMMUG00000043316 Metazoa_SRP
ENSMMUG00000036074 U6
ENSMMUG00000012914 PCNT
ENSMMUG00000039473 C3H21orf58
ENSMMUG00000012911 YBEY
ENSMMUG00000022331 MCM3AP
ENSMMUG00000022329 LSS
ENSMMUG00000064313 NA
ENSMMUG00000056362 Metazoa_SRP
ENSMMUG00000058335 SPATC1L
ENSMMUG00000022324 FTCD
ENSMMUG00000022317 COL6A2
ENSMMUG00000055486 NA
ENSMMUG00000056336 NA
ENSMMUG00000049632 NA
ENSMMUG00000062496 NA
ENSMMUG00000000544 COL6A1
ENSMMUG00000061934 NA
ENSMMUG00000003825 PCBP3
ENSMMUG00000063018 NA
ENSMMUG00000064633 Metazoa_SRP
ENSMMUG00000056496 NA
ENSMMUG00000055589 NA
ENSMMUG00000052777 NA
ENSMMUG00000004477 SLC19A1
ENSMMUG00000004472 COL18A1
ENSMMUG00000061043 NA
ENSMMUG00000010700 POFUT2
ENSMMUG00000010695 ADARB1
ENSMMUG00000061023 NA
ENSMMUG00000061269 Metazoa_SRP
ENSMMUG00000000953 FAM207A
ENSMMUG00000000951 ITGB2
ENSMMUG00000046352 PTTG1IP
ENSMMUG00000048545 SUMO3
ENSMMUG00000045077 UBE2G2
ENSMMUG00000022556 TSPEAR
ENSMMUG00000022561 NA
ENSMMUG00000021627 NA
ENSMMUG00000043221 NA
ENSMMUG00000048049 KRTAP10-8
ENSMMUG00000030497 NA
ENSMMUG00000022560 NA
ENSMMUG00000022558 NA
ENSMMUG00000022559 NA
ENSMMUG00000049633 NA
ENSMMUG00000049755 LRRC3
ENSMMUG00000004175 TRPM2
ENSMMUG00000043460 NA
ENSMMUG00000040201 NA
ENSMMUG00000049578 CFAP410
ENSMMUG00000004173 PFKL
ENSMMUG00000063950 NA
ENSMMUG00000004168 AIRE
ENSMMUG00000010648 NA
ENSMMUG00000010647 NA
ENSMMUG00000005272 GATD3A
ENSMMUG00000005271 PWP2
ENSMMUG00000005269 TRAPPC10
ENSMMUG00000035226 U6
ENSMMUG00000045179 AGPAT3
ENSMMUG00000036399 U6
ENSMMUG00000012304 RRP1
ENSMMUG00000012303 CSTB
ENSMMUG00000062457 PDXK
ENSMMUG00000000104 RRP1B
ENSMMUG00000060092 Metazoa_SRP
ENSMMUG00000022791 HSF2BP
ENSMMUG00000054445 Metazoa_SRP
ENSMMUG00000020050 NA
ENSMMUG00000053649 NA
ENSMMUG00000050480 NA
ENSMMUG00000020271 NA
ENSMMUG00000022769 NA
ENSMMUG00000054515 Metazoa_SRP
ENSMMUG00000009289 NA
ENSMMUG00000009288 PKNOX1
ENSMMUG00000064055 Metazoa_SRP
ENSMMUG00000044879 NA
ENSMMUG00000001553 NDUFV3
ENSMMUG00000062729 WDR4
ENSMMUG00000054915 NA
ENSMMUG00000022107 PDE9A
ENSMMUG00000053372 NA
ENSMMUG00000018085 SLC37A1
ENSMMUG00000062440 NA
ENSMMUG00000018084 RSPH1
ENSMMUG00000018081 UBASH3A
ENSMMUG00000057951 U6
ENSMMUG00000018079 TMPRSS3
ENSMMUG00000050587 TFF1
ENSMMUG00000064839 TFF2
ENSMMUG00000062860 TFF3
ENSMMUG00000018058 ABCG1
ENSMMUG00000018057 UMODL1
ENSMMUG00000018053 ZBTB21
ENSMMUG00000007030 C2CD2
ENSMMUG00000018046 PRDM15
ENSMMUG00000018043 RIPK4
ENSMMUG00000063908 NA
ENSMMUG00000063478 NA
ENSMMUG00000058232 NA
ENSMMUG00000024996 NA
ENSMMUG00000015332 TMPRSS2
ENSMMUG00000050604 Metazoa_SRP
ENSMMUG00000015329 MX1
ENSMMUG00000044257 MX2
ENSMMUG00000004257 BACE2
ENSMMUG00000052955 NA
ENSMMUG00000063411 NA
ENSMMUG00000064901 NA
ENSMMUG00000051050 NA
ENSMMUG00000054970 NA
ENSMMUG00000005174 DSCAM
ENSMMUG00000024041 NA
ENSMMUG00000041181 PCP4
ENSMMUG00000003427 IGSF5
ENSMMUG00000003428 B3GALT5
ENSMMUG00000020654 GET1
ENSMMUG00000056143 Metazoa_SRP
ENSMMUG00000010407 LCA5L
ENSMMUG00000055281 Metazoa_SRP
ENSMMUG00000044278 Metazoa_SRP
ENSMMUG00000052792 NA
ENSMMUG00000006075 NA
ENSMMUG00000052498 NA
ENSMMUG00000008504 BRWD1
ENSMMUG00000008498 PSMG1
ENSMMUG00000062525 Metazoa_SRP
ENSMMUG00000056099 NA
ENSMMUG00000049836 NA
ENSMMUG00000063670 NA
ENSMMUG00000009063 ETS2
ENSMMUG00000058004 NA
ENSMMUG00000010296 ERG
ENSMMUG00000065119 Metazoa_SRP
ENSMMUG00000056855 KCNJ15
ENSMMUG00000056593 NA
ENSMMUG00000051952 NA
ENSMMUG00000018136 KCNJ6
ENSMMUG00000018131 DYRK1A
ENSMMUG00000049784 NA
ENSMMUG00000006962 VPS26C
ENSMMUG00000057188 NA
ENSMMUG00000017505 TTC3
ENSMMUG00000052250 Metazoa_SRP
ENSMMUG00000062048 NA
ENSMMUG00000055002 U2
ENSMMUG00000016211 PIGP
ENSMMUG00000049454 mml-mir-548i
ENSMMUG00000058732 NA
ENSMMUG00000059814 Metazoa_SRP
ENSMMUG00000043090 RIPPLY3
ENSMMUG00000015566 HLCS
ENSMMUG00000028022 Y_RNA
ENSMMUG00000058333 SIM2
ENSMMUG00000055772 NA
ENSMMUG00000000488 CLDN14
ENSMMUG00000007399 CHAF1B
ENSMMUG00000020043 MORC3
ENSMMUG00000010336 DOP1B
ENSMMUG00000052200 NA
ENSMMUG00000020565 CBR1
ENSMMUG00000034757 U6
ENSMMUG00000001125 SETD4
ENSMMUG00000064897 NA
ENSMMUG00000054119 Metazoa_SRP
ENSMMUG00000032675 mml-mir-802
ENSMMUG00000055247 NA
ENSMMUG00000053529 NA
ENSMMUG00000001649 RUNX1
ENSMMUG00000062997 NA
ENSMMUG00000004605 CLIC6
ENSMMUG00000058383 NA
ENSMMUG00000004600 RCAN1
ENSMMUG00000062608 NA
ENSMMUG00000034027 NA
ENSMMUG00000057707 NA
ENSMMUG00000043099 NA
ENSMMUG00000062991 NA
ENSMMUG00000053087 KCNE2
ENSMMUG00000065271 NA
ENSMMUG00000062903 MRPS6
ENSMMUG00000056354 NA
ENSMMUG00000053203 NA
ENSMMUG00000054417 NA
ENSMMUG00000054848 Metazoa_SRP
ENSMMUG00000003701 ATP5PO
ENSMMUG00000007626 ITSN1
ENSMMUG00000060506 NA
ENSMMUG00000003703 CRYZL1
ENSMMUG00000005511 SON
ENSMMUG00000041549 MIR6501
ENSMMUG00000022702 GART
ENSMMUG00000057107 Metazoa_SRP
ENSMMUG00000022701 DNAJC28
ENSMMUG00000005509 TMEM50B
ENSMMUG00000005508 IFNGR2
ENSMMUG00000003961 IFNAR1
ENSMMUG00000003956 IFNAR2
ENSMMUG00000065005 Metazoa_SRP
ENSMMUG00000052780 NA
ENSMMUG00000051823 NA
ENSMMUG00000017652 OLIG2
ENSMMUG00000027541 SNORA70
ENSMMUG00000012298 C3H21orf62
ENSMMUG00000043714 PAXBP1
ENSMMUG00000060296 mml-mir-7185
ENSMMUG00000004624 SYNJ1
ENSMMUG00000010304 CFAP298
ENSMMUG00000048824 EVA1C
ENSMMUG00000059430 Metazoa_SRP
ENSMMUG00000010295 URB1
ENSMMUG00000054733 Metazoa_SRP
ENSMMUG00000053197 SNORA80A
ENSMMUG00000037579 Metazoa_SRP
ENSMMUG00000059677 MRAP
ENSMMUG00000059707 MIS18A
ENSMMUG00000012917 HUNK
ENSMMUG00000052037 NA
ENSMMUG00000057661 NA
ENSMMUG00000001712 SCAF4
ENSMMUG00000001711 SOD1
ENSMMUG00000037227 NA
ENSMMUG00000055021 Metazoa_SRP
ENSMMUG00000064926 NA
ENSMMUG00000049457 NA
ENSMMUG00000051417 NA
ENSMMUG00000019571 TIAM1
ENSMMUG00000064916 NA
ENSMMUG00000049892 NA
ENSMMUG00000056363 NA
ENSMMUG00000057252 NA
ENSMMUG00000057843 NA
ENSMMUG00000051158 KRTAP11-1
ENSMMUG00000048822 NA
ENSMMUG00000048490 NA
ENSMMUG00000001140 NA
ENSMMUG00000035114 U4
ENSMMUG00000046419 NA
ENSMMUG00000061651 NA
ENSMMUG00000042688 NA
ENSMMUG00000023347 NA
ENSMMUG00000061971 NA
ENSMMUG00000051605 KRTAP15-1
ENSMMUG00000053840 KRTAP13-4
ENSMMUG00000054122 NA
ENSMMUG00000014971 NA
ENSMMUG00000061111 NA
ENSMMUG00000053024 NA
ENSMMUG00000041044 Metazoa_SRP
ENSMMUG00000050022 KRTAP27-1
ENSMMUG00000054249 NA
ENSMMUG00000059605 NA
ENSMMUG00000044152 NA
ENSMMUG00000055735 KRTAP24-1
ENSMMUG00000014974 CLDN8
ENSMMUG00000004886 GRIK1
ENSMMUG00000054783 NA
ENSMMUG00000059438 Metazoa_SRP
ENSMMUG00000011095 BACH1
ENSMMUG00000033200 U3
ENSMMUG00000061208 NA
ENSMMUG00000064638 Y_RNA
ENSMMUG00000003023 CCT8
ENSMMUG00000003020 USP16
ENSMMUG00000030454 RWDD2B
ENSMMUG00000015728 LTN1
ENSMMUG00000061034 N6AMT1
ENSMMUG00000036294 U6
ENSMMUG00000063904 NA
ENSMMUG00000013405 ADAMTS5
ENSMMUG00000013407 ADAMTS1
ENSMMUG00000012107 CYYR1
ENSMMUG00000052276 NA
ENSMMUG00000064955 NA
ENSMMUG00000052829 U6
ENSMMUG00000014384 APP
ENSMMUG00000024119 U6
ENSMMUG00000008727 GABPA
ENSMMUG00000008725 ATP5PF
ENSMMUG00000008723 JAM2
ENSMMUG00000017605 MRPL39
ENSMMUG00000054670 Metazoa_SRP
ENSMMUG00000027069 mml-mir-155
ENSMMUG00000054775 NA
ENSMMUG00000059527 NA
ENSMMUG00000053441 NA
ENSMMUG00000044086 NA
ENSMMUG00000055479 NA
ENSMMUG00000043630 NA
ENSMMUG00000055088 NA
ENSMMUG00000062067 NA
ENSMMUG00000053178 NA
ENSMMUG00000055941 NA
ENSMMUG00000046715 mml-mir-6130
ENSMMUG00000056772 NA
ENSMMUG00000052717 Metazoa_SRP
ENSMMUG00000060653 NA
ENSMMUG00000054100 NA
ENSMMUG00000057524 U4
ENSMMUG00000062928 Metazoa_SRP
ENSMMUG00000004300 NCAM2
ENSMMUG00000062507 NA
ENSMMUG00000006799 NA
ENSMMUG00000057635 NA
ENSMMUG00000035981 U2
ENSMMUG00000030448 NA
ENSMMUG00000036921 U6
ENSMMUG00000054231 NA
ENSMMUG00000062686 NA
ENSMMUG00000043490 NA
ENSMMUG00000044458 Metazoa_SRP
ENSMMUG00000062433 NA
ENSMMUG00000064962 TMPRSS15
ENSMMUG00000021858 CHODL
ENSMMUG00000062088 U6
ENSMMUG00000045463 C3H21orf91
ENSMMUG00000053393 NA
ENSMMUG00000002116 BTG3
ENSMMUG00000010755 CXADR
ENSMMUG00000034791 Y_RNA
ENSMMUG00000028086 Y_RNA
ENSMMUG00000048853 U6
ENSMMUG00000055832 NA
ENSMMUG00000053102 NA
ENSMMUG00000026830 U1
ENSMMUG00000028627 mml-mir-125b-2
ENSMMUG00000027098 MIRLET7C
ENSMMUG00000026997 mml-mir-99a
ENSMMUG00000051993 NA
ENSMMUG00000009632 NA
ENSMMUG00000032866 SNORD74B
ENSMMUG00000064737 NA
ENSMMUG00000018743 USP25
ENSMMUG00000058048 NA
ENSMMUG00000034278 U6
ENSMMUG00000052195 NA
ENSMMUG00000060808 NA
ENSMMUG00000049882 NA
ENSMMUG00000058750 NRIP1
ENSMMUG00000057778 NA
ENSMMUG00000023771 SAMSN1
ENSMMUG00000020091 HSPA13
ENSMMUG00000051566 NA
ENSMMUG00000020090 ABCC13
ENSMMUG00000057894 NA
ENSMMUG00000020089 RBM11
ENSMMUG00000037492 LIPI
ENSMMUG00000058843 NA
ENSMMUG00000054632 NA
ENSMMUG00000062544 NA
ENSMMUG00000051662 NA
ENSMMUG00000064068 NA
ENSMMUG00000059531 NA
ENSMMUG00000060576 NA
ENSMMUG00000057702 NA
ENSMMUG00000052538 NA
ENSMMUG00000059129 NA
ENSMMUG00000062340 NA
ENSMMUG00000060168 NA
ENSMMUG00000065108 NA
ENSMMUG00000052328 FAM20C
ENSMMUG00000049946 NA
ENSMMUG00000053559 FOXL3
ENSMMUG00000004949 PDGFA
ENSMMUG00000053014 PRKAR1B
ENSMMUG00000065253 NA
ENSMMUG00000018261 DNAAF5
ENSMMUG00000017056 SUN1
ENSMMUG00000017063 GET4
ENSMMUG00000051491 NA
ENSMMUG00000017064 ADAP1
ENSMMUG00000049357 COX19
ENSMMUG00000007204 CYP2W1
ENSMMUG00000007206 C3H7orf50
ENSMMUG00000027096 mml-mir-339
ENSMMUG00000007208 GPR146
ENSMMUG00000007209 GPER1
ENSMMUG00000059307 Metazoa_SRP
ENSMMUG00000017058 UNCX
ENSMMUG00000049463 Metazoa_SRP
ENSMMUG00000057474 NA
ENSMMUG00000012540 MICALL2
ENSMMUG00000012548 INTS1
ENSMMUG00000037597 MAFK
ENSMMUG00000013080 TMEM184A
ENSMMUG00000051225 NA
ENSMMUG00000013083 PSMG3
ENSMMUG00000054497 NA
ENSMMUG00000056666 Metazoa_SRP
ENSMMUG00000003283 ELFN1
ENSMMUG00000055803 Metazoa_SRP
ENSMMUG00000011659 MAD1L1
ENSMMUG00000055609 NA
ENSMMUG00000017020 MRM2
ENSMMUG00000022072 NUDT1
ENSMMUG00000022074 SNX8
ENSMMUG00000015529 EIF3B
ENSMMUG00000063265 NA
ENSMMUG00000006475 CHST12
ENSMMUG00000019181 GRIFIN
ENSMMUG00000060707 NA
ENSMMUG00000016074 LFNG
ENSMMUG00000019005 TTYH3
ENSMMUG00000053107 Metazoa_SRP
ENSMMUG00000063949 NA
ENSMMUG00000054278 NA
ENSMMUG00000006458 IQCE
ENSMMUG00000065283 Metazoa_SRP
ENSMMUG00000004087 BRAT1
ENSMMUG00000049475 NA
ENSMMUG00000053148 AMZ1
ENSMMUG00000006460 GNA12
ENSMMUG00000055562 Metazoa_SRP
ENSMMUG00000021650 CARD11
ENSMMUG00000059144 Metazoa_SRP
ENSMMUG00000050115 NA
ENSMMUG00000063794 Metazoa_SRP
ENSMMUG00000061426 Metazoa_SRP
ENSMMUG00000062979 NA
ENSMMUG00000055884 NA
ENSMMUG00000019724 SDK1
ENSMMUG00000055779 Metazoa_SRP
ENSMMUG00000059943 Metazoa_SRP
ENSMMUG00000011227 FOXK1
ENSMMUG00000058309 NA
ENSMMUG00000011228 AP5Z1
ENSMMUG00000011232 RADIL
ENSMMUG00000064940 Y_RNA
ENSMMUG00000011672 MMD2
ENSMMUG00000039501 RBAK
ENSMMUG00000039079 NA
ENSMMUG00000058932 NA
ENSMMUG00000007045 WIPI2
ENSMMUG00000008219 SLC29A4
ENSMMUG00000008220 TNRC18
ENSMMUG00000051215 Metazoa_SRP
ENSMMUG00000051765 Metazoa_SRP
ENSMMUG00000033348 mml-mir-589
ENSMMUG00000011153 ACTB
ENSMMUG00000052615 NA
ENSMMUG00000004282 FSCN1
ENSMMUG00000063932 Metazoa_SRP
ENSMMUG00000000182 RNF216
ENSMMUG00000061966 Metazoa_SRP
ENSMMUG00000046397 Metazoa_SRP
ENSMMUG00000056983 NA
ENSMMUG00000062930 NA
ENSMMUG00000022624 NA
ENSMMUG00000012343 ZNF12
ENSMMUG00000056231 Metazoa_SRP
ENSMMUG00000049742 ZNF316
ENSMMUG00000064966 NA
ENSMMUG00000038892 ZNF853
ENSMMUG00000015546 C3H7orf26
ENSMMUG00000015545 ZDHHC4
ENSMMUG00000021839 GRID2IP
ENSMMUG00000057114 NA
ENSMMUG00000030415 KDELR2
ENSMMUG00000010292 DAGLB
ENSMMUG00000021075 RAC1
ENSMMUG00000014753 NA
ENSMMUG00000064400 Metazoa_SRP
ENSMMUG00000003167 CYTH3
ENSMMUG00000027504 Y_RNA
ENSMMUG00000063465 Metazoa_SRP
ENSMMUG00000024137 Y_RNA
ENSMMUG00000020321 USP42
ENSMMUG00000059783 Metazoa_SRP
ENSMMUG00000030419 EIF2AK1
ENSMMUG00000048606 Metazoa_SRP
ENSMMUG00000045015 ANKRD61
ENSMMUG00000030420 AIMP2
ENSMMUG00000065027 SNORA80D
ENSMMUG00000030421 PMS2
